date,housing_price_index
11/1/2010,186.07
12/1/2010,183.27
1/1/2011,181.35
2/1/2011,179.66
3/1/2011,178.84
4/1/2011,180.8
5/1/2011,182.11
6/1/2011,183.85
7/1/2011,184.25
8/1/2011,182.97
9/1/2011,183.21
10/1/2011,181.51
11/1/2011,181.77
12/1/2011,181.03
1/1/2012,179.13
2/1/2012,179.83
3/1/2012,182.49
4/1/2012,185.29
5/1/2012,188.26
6/1/2012,190.15
7/1/2012,190.39
8/1/2012,190.6
9/1/2012,190.44
10/1/2012,190.84
11/1/2012,191.13
12/1/2012,190.66
1/1/2013,190.5
2/1/2013,192.07
3/1/2013,195.67
4/1/2013,198.43
5/1/2013,202
6/1/2013,204.54
7/1/2013,205.77
8/1/2013,205.64
9/1/2013,205.34
10/1/2013,205.44
11/1/2013,204.74
12/1/2013,204.51
1/1/2014,204.04
2/1/2014,205.23
3/1/2014,207.78
4/1/2014,210
5/1/2014,212.54
6/1/2014,214.63
7/1/2014,215.58
8/1/2014,215.47
9/1/2014,214.6
10/1/2014,214.88
11/1/2014,215.08
12/1/2014,215.49
1/1/2015,214.16
2/1/2015,216.25
3/1/2015,218.76
4/1/2015,221.71
5/1/2015,224.79
6/1/2015,226.96
7/1/2015,227.98
8/1/2015,227.39
9/1/2015,227.68
10/1/2015,227.71
11/1/2015,228.32
12/1/2015,228.21
1/1/2016,227.45
2/1/2016,228.94
3/1/2016,232.86
4/1/2016,235.18
5/1/2016,238.09
6/1/2016,240.33
7/1/2016,241.59
8/1/2016,242.09
9/1/2016,242.27
10/1/2016,241.88
11/1/2016,242.21
