date,season
11/1/2010,fall
12/1/2010,winter
1/1/2011,winter
2/1/2011,winter
3/1/2011,spring
4/1/2011,spring
5/1/2011,spring
6/1/2011,summer
7/1/2011,summer
8/1/2011,summer
9/1/2011,fall
10/1/2011,fall
11/1/2011,fall
12/1/2011,winter
1/1/2012,winter
2/1/2012,winter
3/1/2012,spring
4/1/2012,spring
5/1/2012,spring
6/1/2012,summer
7/1/2012,summer
8/1/2012,summer
9/1/2012,fall
10/1/2012,fall
11/1/2012,fall
12/1/2012,winter
1/1/2013,winter
2/1/2013,winter
3/1/2013,spring
4/1/2013,spring
5/1/2013,spring
6/1/2013,summer
7/1/2013,summer
8/1/2013,summer
9/1/2013,fall
10/1/2013,fall
11/1/2013,fall
12/1/2013,winter
1/1/2014,winter
2/1/2014,winter
3/1/2014,spring
4/1/2014,spring
5/1/2014,spring
6/1/2014,summer
7/1/2014,summer
8/1/2014,summer
9/1/2014,fall
10/1/2014,fall
11/1/2014,fall
12/1/2014,winter
1/1/2015,winter
2/1/2015,winter
3/1/2015,spring
4/1/2015,spring
5/1/2015,spring
6/1/2015,summer
7/1/2015,summer
8/1/2015,summer
9/1/2015,fall
10/1/2015,fall
11/1/2015,fall
12/1/2015,winter
1/1/2016,winter
2/1/2016,winter
3/1/2016,spring
4/1/2016,spring
5/1/2016,spring
6/1/2016,summer
7/1/2016,summer
8/1/2016,summer
9/1/2016,fall
10/1/2016,fall
11/1/2016,fall
