date,sp500,consumer_price_index,long_interest_rate
11/1/2010,1198.89,218.8,2.76
12/1/2010,1241.53,219.18,3.29
1/1/2011,1282.62,220.22,3.39
2/1/2011,1321.12,221.31,3.58
3/1/2011,1304.49,223.47,3.41
4/1/2011,1331.51,224.91,3.46
5/1/2011,1338.31,225.96,3.17
6/1/2011,1287.29,225.72,3
7/1/2011,1325.19,225.92,3
8/1/2011,1185.31,226.54,2.3
9/1/2011,1173.88,226.89,1.98
10/1/2011,1207.22,226.42,2.15
11/1/2011,1226.42,226.23,2.01
12/1/2011,1243.32,225.67,1.98
1/1/2012,1300.58,226.66,1.97
2/1/2012,1352.49,227.66,1.97
3/1/2012,1389.24,229.39,2.17
4/1/2012,1386.43,230.09,2.05
5/1/2012,1341.27,229.81,1.8
6/1/2012,1323.48,229.48,1.62
7/1/2012,1359.78,229.1,1.53
8/1/2012,1403.45,230.38,1.68
9/1/2012,1443.42,231.41,1.72
10/1/2012,1437.82,231.32,1.75
11/1/2012,1394.51,230.22,1.65
12/1/2012,1422.29,229.6,1.72
1/1/2013,1480.4,230.28,1.91
2/1/2013,1512.31,232.17,1.98
3/1/2013,1550.83,232.77,1.96
4/1/2013,1570.7,232.53,1.76
5/1/2013,1639.84,232.94,1.93
6/1/2013,1618.77,233.5,2.3
7/1/2013,1668.68,233.6,2.58
8/1/2013,1670.09,233.88,2.74
9/1/2013,1687.17,234.15,2.81
10/1/2013,1720.03,233.55,2.62
11/1/2013,1783.54,233.07,2.72
12/1/2013,1807.78,233.05,2.9
1/1/2014,1822.36,233.92,2.86
2/1/2014,1817.04,234.78,2.71
3/1/2014,1863.52,236.29,2.72
4/1/2014,1864.26,237.07,2.71
5/1/2014,1889.77,237.9,2.56
6/1/2014,1947.09,238.34,2.6
7/1/2014,1973.1,238.25,2.54
8/1/2014,1961.53,237.85,2.42
9/1/2014,1993.23,238.03,2.53
10/1/2014,1937.27,237.43,2.3
11/1/2014,2044.57,236.15,2.33
12/1/2014,2054.27,234.81,2.21
1/1/2015,2028.18,233.71,1.88
2/1/2015,2082.2,234.72,1.98
3/1/2015,2079.99,236.12,2.04
4/1/2015,2094.86,236.6,1.94
5/1/2015,2111.94,237.81,2.2
6/1/2015,2099.29,238.64,2.36
7/1/2015,2094.14,238.65,2.32
8/1/2015,2039.87,238.32,2.17
9/1/2015,1944.41,237.94,2.17
10/1/2015,2024.81,237.84,2.07
11/1/2015,2080.62,237.34,2.26
12/1/2015,2054.08,236.53,2.24
1/1/2016,1918.6,236.92,2.09
2/1/2016,1904.42,237.11,1.78
3/1/2016,2021.95,238.13,1.89
4/1/2016,2075.54,239.26,1.81
5/1/2016,2065.55,240.24,1.81
6/1/2016,2083.89,241.04,1.64
7/1/2016,2148.9,240.65,1.5
8/1/2016,2187.02,240.45,1.57
